region,index,year,value
Copperbelt,tx90p,2015,9.90607
Copperbelt,tx90p,2016,15.84696
Copperbelt,tx90p,2017,4.268658
Copperbelt,tx90p,2018,6.552542
Copperbelt,tx90p,2019,16.25626
Copperbelt,tx90p,2020,10.11532
Copperbelt,tx90p,2021,10.72872
Copperbelt,tx90p,2022,1.946372
Copperbelt,tx90p,2023,17.69062
Copperbelt,tx90p,2024,26.54576
Copperbelt,tx90p,2025,6.963445
Copperbelt,su35,1981,0.5518013
Copperbelt,su35,1982,0.05260729
Copperbelt,su35,1983,0.709649
Copperbelt,su35,1984,0.07882912
Copperbelt,su35,1985,0
Copperbelt,su35,1986,0.1576572
Copperbelt,su35,1987,1.524021
Copperbelt,su35,1988,0
Copperbelt,su35,1989,1.683188
Copperbelt,su35,1990,1.077571
Copperbelt,su35,1991,0
Copperbelt,su35,1992,0.946052
Copperbelt,su35,1993,0.6047884
Copperbelt,su35,1994,0.4203654
Copperbelt,su35,1995,2.418815
Copperbelt,su35,1996,1.918273
Copperbelt,su35,1997,1.551143
Copperbelt,su35,1998,10.04674
Copperbelt,su35,1999,3.498781
Copperbelt,su35,2000,0.05252497
Copperbelt,su35,2001,0.05255274
Copperbelt,su35,2002,0.6044086
Copperbelt,su35,2003,2.315023
Copperbelt,su35,2004,0.9990422
Copperbelt,su35,2005,1.866322
Copperbelt,su35,2006,0.1313263
Copperbelt,su35,2007,0.5783782
Copperbelt,su35,2008,4.076142
Copperbelt,su35,2009,0.894018
Copperbelt,su35,2010,6.180422
Copperbelt,su35,2011,3.523716
Copperbelt,su35,2012,1.472499
Copperbelt,su35,2013,3.103269
Copperbelt,su35,2014,5.153957
Copperbelt,su35,2015,1.051538
Copperbelt,su35,2016,7.020885
Copperbelt,su35,2017,2.523679
Copperbelt,su35,2018,1.077949
Copperbelt,su35,2019,6.388513
Copperbelt,su35,2020,4.732134
Copperbelt,su35,2021,2.944971
Copperbelt,su35,2022,0.6833726
Copperbelt,su35,2023,4.494965
Copperbelt,su35,2024,3.838035
Copperbelt,su35,2025,0.1576022
Copperbelt,wsdi,1981,6.415841
Copperbelt,wsdi,1982,7.786394
Copperbelt,wsdi,1983,24.25021
Copperbelt,wsdi,1984,2.26072
Copperbelt,wsdi,1985,0
Copperbelt,wsdi,1986,0
Copperbelt,wsdi,1987,23.26071
Copperbelt,wsdi,1988,0.1582948
Copperbelt,wsdi,1989,1.658411
Copperbelt,wsdi,1990,5.235008
Copperbelt,wsdi,1991,0
Copperbelt,wsdi,1992,15.88663
Copperbelt,wsdi,1993,6.184981
Copperbelt,wsdi,1994,22.26086
Copperbelt,wsdi,1995,9.893744
Copperbelt,wsdi,1996,5.891996
Copperbelt,wsdi,1997,6.630382
Copperbelt,wsdi,1998,25.65774
Copperbelt,wsdi,1999,11.71791
Copperbelt,wsdi,2000,0
